index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
170,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,1.64,ASUS,6,14,False,False,False,False,False,False
171,Entre 600 et 800,Intel Core i3,8,1600x900,128,Windows 10,1.64,HP,2,17.3,False,True,True,True,True,False
172,Entre 400 et 600,Intel Celeron,4,1366x768,64,Windows 10,1.35,THOMSON,4,14.1,False,True,True,True,True,True
173,>1150,AMD Ryzen,16,1920x1080,1000,Aucun,2.3,ASUS,8,15.6,False,True,True,True,False,False
175,Entre 250 et 400,AMD Athlon,4,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
176,Entre 600 et 800,Intel Core i5,4,1920x1080,1000,Windows 10,1.78,HP,4,15.6,False,True,True,True,True,True
177,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.3,ASUS,6,15.6,False,True,True,True,True,False
178,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
181,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,1.41,HP,4,14,False,True,True,True,True,True
182,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.7,LENOVO,2,15.6,False,True,True,True,True,True
185,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,2.2,ACER,4,17.3,False,True,True,True,True,False
187,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,2.32,HP,4,17.3,False,True,True,True,True,True
189,Entre 600 et 800,AMD Ryzen,4,1366x768,128,Windows 10,1.64,HP,2,15.6,False,True,True,True,True,True
191,Entre 600 et 800,AMD Athlon,4,1920x1080,64,ChromeOS,1.497,LENOVO,2,13.3,False,True,True,True,True,True
193,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.8,ASUS,4,15.6,False,True,True,True,True,True
194,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,2.46,LENOVO,4,15.6,False,True,True,True,True,False
195,Entre 400 et 600,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
196,Entre 600 et 800,Intel Core i5,8,1366x768,256,Windows 10,1.78,HP,4,15.6,False,True,True,True,True,True
197,Entre 800 et 1150,Intel Core i5,8,1920x1080,256,ChromeOS,1.95,ASUS,4,15.6,False,True,True,False,True,True
198,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.46,HP,6,16.1,False,True,True,True,True,True
199,>1150,Apple M1,16,2560x1600,256,MacOS,1.29,APPLE,8,13.3,False,True,False,False,True,False
200,>1150,AMD Ryzen,16,,512,Windows 10,1.64,ASUS,4,15.6,False,False,False,False,False,False
